"id","title","issuing_body","sector","document_type","status","release_date","summary","who_it_applies_to","key_obligations","official_url","archived_pdf","last_verified"
"1","National Strategy for Artificial Intelligence #AIforAll","NITI Aayog","Cross-cutting","Strategy","Final","2018-06-01","The founding document of India's AI policy journey - a discussion paper prepared by NITI Aayog under a Union Budget 2018-19 mandate, branding India's approach as #AIforAll. It identifies five priority sectors (healthcare, agriculture, education, smart cities, smart mobility) and proposes Centres of Excellence for AI research, large-scale reskilling, annotated public datasets, and a national data marketplace. Not binding, but nearly every subsequent central and state AI initiative traces its framing back to this paper.","Non-binding strategy paper. Primarily a reference for central ministries, state governments, researchers, and companies seeking to understand the origins and priorities of India's AI programme.","None - advisory. Recommends establishing ICTAI Centres of Excellence; aligning programmes to the five priority sectors; creating annotated datasets for public-interest AI; large-scale workforce reskilling; developing responsible AI guidelines.","https://www.niti.gov.in/sites/default/files/2023-03/National-Strategy-for-Artificial-Intelligence.pdf","","2026-06-11"
"2","Responsible AI for All - Part 1: Guiding Principles","NITI Aayog","Cross-cutting","Framework","Final","2021-02-22","First instalment of NITI Aayog's Responsible AI approach papers, establishing seven principles for responsible AI derived from the Constitution of India: safety and reliability, equality, inclusivity and non-discrimination, privacy and security, transparency, accountability, and protection of positive human values. It analyses systems-level risks such as explainability gaps, exclusion and accountability failures, and includes a self-assessment guide. These principles remain the most-cited ethical baseline in Indian AI policy, echoed in later sectoral frameworks.","Non-binding guidance for government agencies and for AI developers and deployers across the public and private sectors.","Voluntary. Recommends adopting the seven principles across design, development and deployment; conducting risk-proportionate impact assessments; documenting AI systems against each principle.","https://www.niti.gov.in/sites/default/files/2021-02/Responsible-AI-22022021.pdf","","2026-06-11"
"3","Responsible AI for All - Part 2: Operationalising Responsible AI","NITI Aayog","Cross-cutting","Framework","Final","2021-08-12","Companion paper to Part 1, focused on how to operationalise the seven responsible AI principles in practice. Provides sector-specific guidance and case studies for healthcare, agriculture, MSMEs and education, a risk-based assessment framework, and proposed enforcement mechanisms, and maps the roles of government, industry and research institutions in making responsible AI work in Indian organisational contexts.","Non-binding guidance for AI developers and deploying organisations, particularly those using AI in social or governance contexts.","Voluntary. Recommends sector-specific risk and fairness assessments; deployment checklists; internal accountability mechanisms; documented AI decision trails.","https://www.niti.gov.in/sites/default/files/2021-08/Part2-Responsible-AI-12082021.pdf","","2026-06-11"
"4","IndiaAI Mission","Ministry of Electronics and Information Technology (MeitY)","Cross-cutting","Policy","Final","2024-03-07","Cabinet-approved national programme with a Rs 10,371.92 crore outlay over five years - the financial and institutional engine of India's AI ambitions. Built on seven pillars: subsidised national GPU compute capacity, an Innovation Centre for indigenous foundation models, the AIKosh datasets platform, sectoral application development, FutureSkills training, startup financing, and Safe and Trusted AI. Implemented by the IndiaAI Independent Business Division under Digital India Corporation; most subsequent governance initiatives, including the AI Governance Guidelines and the AI Safety Institute, sit under its umbrella.","A government programme rather than a regulation. Relevant to AI startups, researchers and academic institutions seeking compute, data, funding or skilling support, and to government bodies deploying AI.","No compliance obligations - participation-based. Startups and researchers can access subsidised GPU compute via the IndiaAI Compute Portal, datasets via AIKosh, FutureSkills programmes, and startup financing through the fund of funds.","https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2012355&reg=3&lang=2","","2026-06-11"
"5","Digital Personal Data Protection Act 2023","Ministry of Law and Justice","Cross-cutting|Data Governance","Legislation","Final","2023-08-11","India's first comprehensive data protection law, governing the processing of digital personal data - including the data that trains and feeds AI systems. It establishes consent and notice requirements, rights for individuals (Data Principals), obligations for organisations (Data Fiduciaries) including breach notification and erasure, and a Data Protection Board with penalty powers up to Rs 250 crore. Enforcement depends on the DPDP Rules 2025, which phase in core obligations through 2027. For AI builders, this is the binding legal baseline for any system touching personal data of Indian residents.","Binding law. All government and private entities processing digital personal data of individuals in India, or offering goods and services to Indian residents from abroad. Limited exemptions for personal use, notified state instrumentalities, and research.","Obtain valid consent or rely on listed legitimate uses; provide notice before collection; allow easy consent withdrawal; implement reasonable security safeguards; notify the Board and affected individuals of breaches; erase data when its purpose ends; verifiable parental consent for under-18s with no tracking or targeted advertising aimed at children; Significant Data Fiduciaries must appoint an India-based DPO and independent auditor and conduct periodic impact assessments.","https://www.meity.gov.in/static/uploads/2024/06/2bf1f0e9f04e6fb4f8fef35e82c42aa5.pdf","","2026-06-11"
"6","Advisory on Due Diligence and Identification of AI-Generated Deepfakes (December 2023)","Ministry of Electronics and Information Technology (MeitY)","Cross-cutting","Advisory","Final","2023-12-26","MeitY advisory (No. 2(4)/2023-CyberLaws-2) directing all intermediaries to act against AI-generated deepfakes and synthetic misinformation, issued amid high-profile deepfake incidents in late 2023. It instructs platforms not to permit AI-generated content unlawful under Rule 3(1)(b) of the IT Rules 2021, to embed permanent metadata in synthetic content enabling traceability to creator and originator, and to prevent AI-enabled bias or threats to electoral integrity, on pain of losing safe harbour under Section 79 of the IT Act. Effectively the first step toward the binding deepfake framework added to the IT Rules in February 2026.","All intermediaries and platforms operating in India, including social media, messaging and OTT platforms and providers of generative AI tools.","Prevent unlawful AI-generated content; embed permanent metadata or identifiers in synthetic content for traceability; prevent AI-enabled bias, discrimination and electoral interference; submit an action-taken report within 15 days; maintain Section 79 due diligence.","https://www.meity.gov.in/static/uploads/2024/02/9f6e99572739a3024c9cdaec53a0a0ef.pdf","","2026-06-11"
"7","Advisory to Intermediaries on AI Compliance and Unreliable AI Models (March 2024)","Ministry of Electronics and Information Technology (MeitY)","Cross-cutting","Advisory","Superseded","2024-03-01","Follow-up MeitY advisory (No. 2(4)/2023-CyberLaws-3) issued after observed non-compliance with the December 2023 deepfake advisory - and the most controversial of the AI advisories. As issued on 1 March 2024 it required under-tested or unreliable AI models to obtain explicit Government of India permission before being made available to Indian users; after strong industry pushback, a revised advisory on 15 March 2024 withdrew the approval requirement in favour of labelling under-tested models and outputs. Other requirements - consent popups disclosing output fallibility, user warnings about unlawful AI content, and permanent metadata in synthetic media - were retained.","All intermediaries and platforms hosting or enabling AI, ML, LLM or generative AI functionality for users in India.","As revised on 15 March 2024: label under-tested or unreliable AI models and their outputs; display consent popups disclosing the fallibility of AI outputs; prevent unlawful AI-generated content and electoral interference; inform users of consequences of dealing in unlawful AI content; embed permanent metadata for deepfake attribution. The original requirement of prior government permission was withdrawn.","","","2026-06-11"
"10","Recommendations on Leveraging Artificial Intelligence and Big Data in Telecommunication Sector","Telecom Regulatory Authority of India (TRAI)","Telecom","Recommendation","Final","2023-07-20","TRAI's recommendations to the government on leveraging AI and big data in telecom, most consequential for what goes beyond telecom: it proposes an independent statutory body, the Artificial Intelligence and Data Authority of India (AIDAI), to govern AI across all sectors through a risk-based framework - one of the earliest official calls for dedicated AI regulation in India. Telecom-specific recommendations cover AI in spectrum management, network optimisation, fraud detection and consumer protection.","Recommendations to government, not binding rules. Addressed to the Department of Telecommunications and MeitY; relevant to telecom service providers and AI vendors serving the sector.","Non-binding. Recommends establishing AIDAI as a statutory cross-sectoral AI authority; risk-based regulation of AI use cases; a multi-stakeholder advisory body; measures to accelerate responsible AI adoption in telecom.","https://www.trai.gov.in/sites/default/files/2024-09/Recommendation_20072023.pdf","","2026-06-11"
"11","Ethical Guidelines for Application of Artificial Intelligence in Biomedical Research and Healthcare","Indian Council of Medical Research (ICMR)","Health","Guidelines","Final","2023-03-01","ICMR's ethical framework for AI in biomedical research and healthcare - the first sectoral AI ethics guidance from an Indian health authority. It sets ten patient-centric principles including autonomy, safety, privacy, accountability and trustworthiness, and walks through the ethics review process for AI health tools across clinical decision support, diagnostics, drug discovery and public health surveillance. Framed as a living document, it has become the reference standard cited in government health-AI deployments.","Healthcare AI developers, clinical researchers, hospitals, ethics committees, and sponsors of AI-in-health research.","Obtain ethics committee clearance for AI healthcare tools; document training data and assess bias; obtain patient consent for AI use in care; conduct clinical validation; ensure human oversight of all AI-assisted clinical decisions.","https://www.icmr.gov.in/icmrobject/custom_data/pdf/Ethical-guidelines/Ethical_Guidelines_AI_Healthcare_2023.pdf","","2026-06-11"
"12","Telemedicine Practice Guidelines","Ministry of Health and Family Welfare (MoHFW) / National Medical Commission","Health","Guidelines","Final","2020-03-25","India's legal framework for telemedicine, issued at the onset of COVID-19 under the Indian Medical Council professional conduct regulations, enabling registered medical practitioners to consult remotely. Its AI significance is a bright-line rule: AI and ML platforms may support practitioners but are explicitly prohibited from counselling patients or prescribing medicines - only a registered practitioner may do so. Also establishes consultation protocols, a four-tier drug prescription matrix tied to consultation mode, and record-keeping duties.","Registered medical practitioners, telemedicine platforms, and health-tech companies offering remote consultations or symptom-checker services.","Verify practitioner and patient identity; obtain patient consent; assess whether telemedicine is appropriate; follow the drug prescription matrix (no Schedule X drugs or narcotics via telemedicine); maintain digital consultation records; platforms must verify practitioner registration and must not allow AI to counsel patients or prescribe.","https://esanjeevani.mohfw.gov.in/assets/guidelines/Telemedicine_Practice_Guidelines.pdf","","2026-06-11"
